FAD 3C Zygosity Call,GT73 Zygosity Call,LepR1B Zygosity Call,LepR2C Zygosity Call,PM2 Zygosity Call,CRM2 Zygosity Call,Sask BAR Zygosity Call,profile
Homo,Null,Homo,Hemi,Homo,Homo,Null,2020(1)
Homo,Null,Homo,Homo,Homo,Homo,Null,2020(2)
Homo,Null,Homo,Null,Homo,Hemi,Null,2020(3)
Homo,Null,Homo,Null,Homo,Homo,Null,2020(4)
Homo,Null,Null,Homo,Homo,Homo,Null,2020(5)
Homo,Null,Null,Null,Homo,Homo,Null,2020(6)
Homo,Null,Hemi,Homo,Homo,Homo,Null,2020(7)
Homo,Null,Null,Homo,Homo,Hemi,Null,2020(8)
Homo,Null,Hemi,Null,Homo,Homo,Null,2020(9)
Homo,Null,Homo,Hemi,Hemi,Hemi,Null,2020(10)
Homo,Null,Hemi,Hemi,Homo,Null,Null,2022(1)
Homo,Null,Null,Null,Homo,Null,Null,2012/2020/2022/unknown/2022 and 2012/FAD/CL segregation(1)
Homo,Null,Hemi,Hemi,Homo,Homo,Null,2020 Contamination? (1)
Homo,Null,Homo,Homo,Homo,Hemi,Null,2020 Contamination? (2)
Homo,Null,Null,Hemi,Homo,Hemi,Null,2020 Contamination? (3)
Homo,Null,Null,Hemi,Homo,Homo,Null,2020 Contamination? (4)
Homo,Null,Hemi,Homo,Homo,Hemi,Null,2020 Contamination? (5)
Homo,Null,Homo,Hemi,Homo,Hemi,Null,2020/2022(1)
Homo,Null,Null,Null,Homo,Hemi,Null,2020/2022(2)
Homo,Null,Homo,Hemi,Homo,Null,Null,2020/2022/Contamination/unknown(1)
Homo,Null,Hemi,Homo,Homo,Null,Null,2020/2022/FAD Segregation(1)
Homo,Null,Homo,Null,Homo,Null,Null,2020/2022/unknown(1)
Homo,Null,Null,Hemi,Homo,Null,Null,2020/2022/unknown(2)
Homo,Null,Hemi,Null,Homo,Null,Null,2020/2022/unknown(3)
Homo,Null,Hemi,Hemi,Hemi,Null,Null,2020/FAD/CL segregation(1)
Homo,Null,Homo,Null,Hemi,Hemi,Null,2020/unknown(1)
Homo,Null,Hemi,Hemi,Homo,Hemi,Null,2020/unknown(2)
Homo,Null,Hemi,Null,Homo,Hemi,Null,2020/unknown(3)
Homo,Null,Null,Homo,Homo,Null,Null,2022 unknown(1)
Homo,Null,Homo,Homo,Homo,Null,Null,2022/unknown/FAD Segregation(1)
Hemi,Null,Hemi,Null,Homo,Null,Null,2022/unknown/FAD Segregation(2)
Hemi,Null,Hemi,Null,Homo,Null,Hemi,Bar contamination?(1)
Null,Null,Hemi,Hemi,Homo,Null,Null,Contamination(1)
Null,Null,Hemi,Homo,Hemi,Null,Null,Contamination(2)
Null,Null,Hemi,Null,Homo,Null,Null,Contamination(3)
Null,Null,Homo,Hemi,Homo,Null,Null,Contamination(4)
Null,Null,Homo,Hemi,Null,Null,Null,Contamination(5)
Null,Null,Homo,Homo,Hemi,Hemi,Null,Contamination(6)
Null,Null,Homo,Null,Homo,Null,Null,Contamination(7)
Null,Null,Null,Homo,Homo,Null,Null,Contamination(8)
Null,Null,Null,Null,Null,Null,Null,Contamination(9)
Hemi,Null,Hemi,Homo,Null,Null,Null,Contamination(10)
Hemi,Hemi,Hemi,Homo,Hemi,Null,Null,Contamination/RR Contamination(1)
Homo,Homo,Hemi,Null,Null,Null,Null,DAS RR Contamination(1)
Homo,Homo,Homo,Homo,Null,Null,Null,DAS RR Contamination(2)
Homo,Homo,Homo,Null,Null,Null,Null,DAS RR Contamination(3)
Homo,Homo,Null,Hemi,Null,Null,Null,DAS RR Contamination(4)
Homo,Homo,Hemi,Hemi,Null,Null,Null,DAS RR Contamination(5)
Homo,Homo,Hemi,Homo,Null,Null,Null,DAS RR Contamination(6)
Homo,Homo,Homo,Hemi,Null,Null,Null,DAS RR Contamination(7)
Homo,Homo,Null,Homo,Null,Null,Null,DAS RR Contamination(8)
Homo,Hemi,Hemi,Hemi,Hemi,Null,Null,DAS RR Contamination/RR Contamination(1)
Homo,Homo,Null,Null,Null,Null,Null,DAS RR Contamination/RR Contamination(2)
Homo,Hemi,Null,Hemi,Hemi,Null,Null,DAS RR Contamination/RR contamination(3)
Null,Null,Hemi,Null,Hemi,Null,Null,Fad/CL Segregation(1)
Null,Null,Null,Hemi,Null,Null,Null,Fad/CL Segregation(2)
Hemi,Null,Hemi,Hemi,Hemi,Null,Hemi,Liberty Contamination(1)
Hemi,Null,Homo,Hemi,Homo,Null,Hemi,Liberty Contamination(2)
Hemi,Null,Homo,Homo,Hemi,Null,Hemi,Liberty Contamination(3)
Hemi,Null,Null,Hemi,Hemi,Null,Hemi,Liberty Contamination(4)
Hemi,Null,Null,Hemi,Homo,Null,Hemi,Liberty Contamination(5)
Hemi,Null,Null,Homo,Hemi,Null,Hemi,Liberty Contamination(6)
Hemi,Null,Null,Homo,Homo,Null,Homo,Liberty Contamination(7)
Hemi,Null,Null,Null,Hemi,Null,Hemi,Liberty Contamination(8)
Homo,Null,Hemi,Hemi,Hemi,Null,Hemi,Liberty Contamination(9)
Homo,Null,Hemi,Hemi,Homo,Null,Hemi,Liberty Contamination(10)
Homo,Null,Hemi,Homo,Hemi,Null,Hemi,Liberty Contamination(11)
Homo,Null,Hemi,Homo,Homo,Null,Hemi,Liberty Contamination(12)
Homo,Null,Homo,Hemi,Hemi,Null,Hemi,Liberty Contamination(13)
Homo,Null,Homo,Hemi,Homo,Null,Hemi,Liberty Contamination(14)
Homo,Null,Homo,Homo,Hemi,Null,Hemi,Liberty Contamination(15)
Homo,Null,Homo,Homo,Homo,Null,Hemi,Liberty Contamination(16)
Homo,Null,Homo,Null,Hemi,Null,Hemi,Liberty Contamination(17)
Hemi,Null,Hemi,Hemi,Homo,Null,Hemi,Liberty Contamination(18)
Homo,Null,Homo,Null,Null,Null,Homo,Liberty Contamination(19)
Homo,Null,Null,Hemi,Hemi,Null,Hemi,Liberty Contamination(20)
Homo,Null,Null,Hemi,Homo,Null,Hemi,Liberty Contamination(21)
Homo,Null,Null,Hemi,Homo,Null,Homo,Liberty Contamination(22)
Homo,Null,Null,Homo,Hemi,Null,Hemi,Liberty Contamination(23)
Homo,Null,Null,Homo,Homo,Null,Hemi,Liberty Contamination(24)
Homo,Null,Null,Null,Homo,Null,Hemi,Liberty Contamination(25)
Null,Null,Hemi,Hemi,Homo,Null,Hemi,Liberty Contamination(26)
Null,Null,Null,Homo,Homo,Null,Hemi,Liberty Contamination(27)
Hemi,Null,Hemi,Hemi,Homo,Null,Homo,Liberty Contamination(28)
Null,Null,Null,Null,Null,Null,Hemi,Liberty Contamination(29)
Null,Null,Null,Null,Null,Null,Homo,Liberty Contamination(30)
Hemi,Null,Hemi,Homo,Hemi,Null,Hemi,Liberty Contamination(31)
Hemi,Null,Hemi,Homo,Homo,Null,Hemi,Liberty Contamination(32)
Hemi,Null,Hemi,Null,Hemi,Null,Hemi,Liberty Contamination(33)
Hemi,Null,Hemi,Null,Hemi,Null,Homo,Liberty Contamination(34)
Hemi,Null,Homo,Hemi,Hemi,Null,Hemi,Liberty Contamination(35)
Hemi,Null,Null,Null,Homo,Null,Hemi,Liberty Contamination(36)
Null,Hemi,Homo,Hemi,Null,Null,Hemi,Liberty/RR Contamination(1)
Null,Null,Hemi,Homo,Homo,Null,Null,Non DAS CL(1)
Null,Null,Null,Null,Homo,Null,Null,Non DAS CL(2)
Homo,Hemi,Hemi,Hemi,Homo,Null,Null,RR Contamination(1)
Hemi,Hemi,Homo,Hemi,Homo,Null,Null,RR Contamination(2)
Hemi,Hemi,Homo,Hemi,Null,Null,Null,RR Contamination(3)
Hemi,Hemi,Homo,Homo,Hemi,Null,Null,RR Contamination(4)
Hemi,Hemi,Homo,Homo,Homo,Null,Null,RR Contamination(5)
Hemi,Hemi,Null,Hemi,Homo,Null,Null,RR Contamination(6)
Hemi,Hemi,Null,Homo,Hemi,Null,Null,RR Contamination(7)
Hemi,Homo,Null,Hemi,Hemi,Null,Null,RR Contamination(8)
Hemi,Homo,Null,Homo,Null,Null,Null,RR Contamination(9)
Homo,Hemi,Hemi,Homo,Hemi,Null,Null,RR Contamination(10)
Homo,Hemi,Hemi,Null,Hemi,Null,Null,RR Contamination(11)
Homo,Hemi,Hemi,Null,Homo,Null,Null,RR Contamination(12)
Homo,Hemi,Homo,Hemi,Hemi,Null,Null,RR Contamination(13)
Homo,Hemi,Homo,Homo,Hemi,Null,Null,RR Contamination(14)
Hemi,Hemi,Hemi,Hemi,Hemi,Null,Null,RR Contamination(15)
Homo,Hemi,Homo,Homo,Homo,Null,Null,RR Contamination(16)
Homo,Hemi,Homo,Null,Homo,Null,Null,RR Contamination(17)
Homo,Hemi,Null,Homo,Hemi,Null,Null,RR Contamination(18)
Homo,Homo,Homo,Hemi,Homo,Null,Null,RR Contamination(19)
Null,Hemi,Hemi,Hemi,Hemi,Null,Null,RR Contamination(20)
Null,Hemi,Hemi,Homo,Hemi,Null,Null,RR Contamination(21)
Hemi,Hemi,Hemi,Hemi,Null,Null,Null,RR Contamination(22)
Null,Hemi,Hemi,Null,Hemi,Null,Null,RR Contamination(23)
Null,Hemi,Homo,Null,Homo,Null,Null,RR Contamination(24)
Null,Hemi,Null,Hemi,Hemi,Null,Null,RR Contamination(25)
Null,Homo,Hemi,Hemi,Null,Null,Null,RR Contamination(26)
Null,Homo,Homo,Hemi,Null,Null,Null,RR Contamination(27)
Null,Homo,Homo,Homo,Hemi,Null,Null,RR Contamination(28)
Hemi,Hemi,Hemi,Null,Hemi,Null,Null,RR Contamination(29)
Hemi,Hemi,Homo,Hemi,Hemi,Null,Null,RR Contamination(30)
Homo,Hemi,Hemi,Hemi,Null,Null,Hemi,RR/Liberty Contamination(1)
Null,Homo,Hemi,Hemi,Null,Null,Hemi,RR/Liberty Contamination(2)
Hemi,Null,Hemi,Hemi,Hemi,Hemi,Null,unknown(1)
Hemi,Null,Homo,Hemi,Homo,Null,Null,unknown(2)
Hemi,Null,Homo,Null,Hemi,Null,Null,unknown(3)
Hemi,Null,Homo,Null,Homo,Null,Null,unknown(4)
Hemi,Null,Null,Hemi,Homo,Hemi,Null,unknown(5)
Hemi,Null,Null,Homo,Homo,Null,Null,unknown(6)
Homo,Null,Hemi,Hemi,Hemi,Hemi,Null,unknown(7)
Homo,Null,Hemi,Homo,Hemi,Null,Null,unknown(8)
Homo,Null,Hemi,Homo,Null,Null,Null,unknown(9)
Homo,Null,Hemi,Null,Hemi,Null,Null,unknown(10)
Homo,Null,Homo,Hemi,Null,Null,Null,unknown(11)
Homo,Null,Homo,Homo,Null,Null,Null,unknown(12)
Homo,Null,Homo,Null,Hemi,Null,Null,unknown(13)
Hemi,Null,Hemi,Homo,Hemi,Null,Null,unknown(14)
Homo,Null,Null,Homo,Hemi,Null,Null,unknown(15)
Hemi,Null,Hemi,Null,Hemi,Null,Null,unknown(16)
Hemi,Null,Hemi,Null,Homo,Hemi,Null,unknown(17)
Hemi,Null,Hemi,Hemi,Homo,Null,Null,unknown/CL contamination/FAD segregation(1)
Homo,Null,Homo,Homo,Hemi,Null,Null,unknown/CL Seg/Contamination(1)
Homo,Null,Hemi,Hemi,Null,Null,Null,unknown/contamination(1)
Hemi,Null,Homo,Homo,Hemi,Null,Null,unknown/Contamination(2)
Hemi,Null,Null,Homo,Hemi,Null,Null,unknown/Contamination(3)
Homo,Null,Null,Hemi,Hemi,Null,Null,unknown/Contamination(4)
Homo,Null,Null,Homo,Null,Null,Null,unknown/Contamination(5)
Hemi,Null,Homo,Hemi,Hemi,Null,Null,unknown/Contamination/FAD/CL segregation(1)
Hemi,Null,Null,Null,Hemi,Null,Null,unknown/Contamination/FAD/CL Segregation(2)
Hemi,Null,Null,Hemi,Hemi,Null,Null,unknown/Contamination/FAD/CL Segregation(3)
Hemi,Null,Hemi,Hemi,Hemi,Null,Null,unknown/Contamination/FAD/CL Segregation(4)
Homo,Null,Null,Null,Hemi,Null,Null,unknown/FAD /CL Segregation(1)
Hemi,Null,Null,Hemi,Homo,Null,Null,unknown/FAD Segregation(1)
Hemi,Null,Homo,Homo,Homo,Null,Null,unknown/FAD Segregation(2)
Hemi,Null,Hemi,Homo,Homo,Null,Null,unknown/FAD Segregation(3)
Hemi,Null,Null,Null,Homo,Null,Null,unknown/FAD segregation/FAD/CL Segregation(1)
Homo,Null,Homo,Hemi,Hemi,Null,Null,unknown/FAD/CL Segregation(1)
